year,constructorId,Constructor Name,Total Points,Races Won,Races Qualified First
1968,1,McLaren,0.0,0,0
1971,1,McLaren,10.0,0,0
1972,1,McLaren,53.0,1,0
1973,1,McLaren,58.0,3,0
1974,1,McLaren,75.0,4,0
1975,1,McLaren,53.0,3,0
1976,1,McLaren,75.0,6,0
1977,1,McLaren,60.0,3,0
1978,1,McLaren,15.0,0,0
1979,1,McLaren,15.0,0,0
1980,1,McLaren,11.0,0,0
1981,1,McLaren,28.0,1,0
1982,1,McLaren,69.0,4,0
1983,1,McLaren,34.0,1,0
1984,1,McLaren,143.5,12,0
1985,1,McLaren,90.0,6,0
1986,1,McLaren,96.0,4,0
1987,1,McLaren,76.0,3,0
1988,1,McLaren,199.0,15,0
1989,1,McLaren,141.0,10,0
1990,1,McLaren,121.0,6,0
1991,1,McLaren,139.0,8,0
1992,1,McLaren,99.0,5,0
1993,1,McLaren,84.0,5,0
1994,1,McLaren,42.0,0,0
1995,1,McLaren,30.0,0,0
1996,1,McLaren,49.0,0,0
1997,1,McLaren,63.0,3,0
1998,1,McLaren,156.0,9,6
1999,1,McLaren,124.0,7,3
2000,1,McLaren,162.0,7,2
2001,1,McLaren,102.0,4,0
2002,1,McLaren,65.0,1,0
2003,1,McLaren,142.0,2,2
2004,1,McLaren,69.0,1,1
2005,1,McLaren,182.0,10,7
2006,1,McLaren,110.0,0,3
2007,1,McLaren,218.0,8,8
2008,1,McLaren,151.0,6,8
2009,1,McLaren,71.0,2,4
2010,1,McLaren,454.0,5,1
2011,1,McLaren,497.0,6,1
2012,1,McLaren,378.0,7,9
2013,1,McLaren,122.0,0,0
2014,1,McLaren,181.0,0,0
2015,1,McLaren,27.0,0,0
2016,1,McLaren,76.0,0,0
2017,1,McLaren,30.0,0,0
2018,1,McLaren,62.0,0,0
2019,1,McLaren,145.0,0,0
2020,1,McLaren,202.0,0,0
2021,1,McLaren,275.0,1,1
2022,1,McLaren,159.0,0,0
2023,1,McLaren,302.0,0,0
2024,1,McLaren,666.0,6,8
2002,2,BMW Sauber,0.0,0,0
2006,2,BMW Sauber,36.0,0,0
2007,2,BMW Sauber,101.0,0,0
2008,2,BMW Sauber,135.0,1,1
2009,2,BMW Sauber,36.0,0,0
1975,3,Williams,6.0,0,0
1976,3,Williams,0.0,0,0
1978,3,Williams,11.0,0,0
1979,3,Williams,75.0,5,0
1980,3,Williams,120.0,6,0
1981,3,Williams,95.0,4,0
1982,3,Williams,58.0,1,0
1983,3,Williams,38.0,1,0
1984,3,Williams,25.5,1,0
1985,3,Williams,71.0,4,0
1986,3,Williams,141.0,9,0
1987,3,Williams,137.0,9,0
1988,3,Williams,20.0,0,0
1989,3,Williams,77.0,2,0
1990,3,Williams,57.0,2,0
1991,3,Williams,125.0,7,0
1992,3,Williams,164.0,10,0
1993,3,Williams,168.0,10,0
1994,3,Williams,118.0,7,6
1995,3,Williams,118.0,5,12
1996,3,Williams,175.0,12,5
1997,3,Williams,123.0,8,7
1998,3,Williams,38.0,0,0
1999,3,Williams,35.0,0,0
2000,3,Williams,36.0,0,0
2001,3,Williams,80.0,4,0
2002,3,Williams,92.0,1,0
2003,3,Williams,144.0,4,4
2004,3,Williams,88.0,1,1
2005,3,Williams,66.0,0,1
2006,3,Williams,11.0,0,0
2007,3,Williams,33.0,0,0
2008,3,Williams,26.0,0,0
2009,3,Williams,34.5,0,0
2010,3,Williams,69.0,0,1
2011,3,Williams,5.0,0,0
2012,3,Williams,76.0,1,0
2013,3,Williams,5.0,0,0
2014,3,Williams,320.0,0,1
2015,3,Williams,257.0,0,0
2016,3,Williams,138.0,0,0
2017,3,Williams,83.0,0,0
2018,3,Williams,7.0,0,0
2019,3,Williams,1.0,0,0
2020,3,Williams,0.0,0,0
2021,3,Williams,23.0,0,0
2022,3,Williams,8.0,0,0
2023,3,Williams,28.0,0,0
2024,3,Williams,17.0,0,0
1977,4,Renault,0.0,0,0
1978,4,Renault,3.0,0,0
1979,4,Renault,26.0,1,0
1980,4,Renault,38.0,3,0
1981,4,Renault,54.0,3,0
1982,4,Renault,62.0,4,0
1983,4,Renault,79.0,4,0
1984,4,Renault,34.0,0,0
1985,4,Renault,16.0,0,0
2002,4,Renault,23.0,0,0
2003,4,Renault,88.0,1,2
2004,4,Renault,105.0,1,3
2005,4,Renault,191.0,8,7
2006,4,Renault,206.0,8,7
2007,4,Renault,51.0,0,0
2008,4,Renault,80.0,2,0
2009,4,Renault,26.0,0,1
2010,4,Renault,163.0,0,0
2011,4,Renault,73.0,0,0
2016,4,Renault,8.0,0,0
2017,4,Renault,57.0,0,0
2018,4,Renault,122.0,0,0
2019,4,Renault,91.0,0,0
2020,4,Renault,181.0,0,0
2006,5,Toro Rosso,1.0,0,0
2007,5,Toro Rosso,8.0,0,0
2008,5,Toro Rosso,39.0,1,1
2009,5,Toro Rosso,8.0,0,0
2010,5,Toro Rosso,13.0,0,0
2011,5,Toro Rosso,41.0,0,0
2012,5,Toro Rosso,26.0,0,0
2013,5,Toro Rosso,33.0,0,0
2014,5,Toro Rosso,30.0,0,0
2015,5,Toro Rosso,67.0,0,0
2016,5,Toro Rosso,63.0,0,0
2017,5,Toro Rosso,53.0,0,0
2018,5,Toro Rosso,33.0,0,0
2019,5,Toro Rosso,85.0,0,0
1958,6,Ferrari,61.0,2,0
1959,6,Ferrari,38.0,2,0
1960,6,Ferrari,29.0,1,0
1961,6,Ferrari,67.0,5,0
1962,6,Ferrari,18.0,0,0
1963,6,Ferrari,26.0,1,0
1964,6,Ferrari,49.0,3,0
1965,6,Ferrari,27.0,0,0
1966,6,Ferrari,32.0,2,0
1967,6,Ferrari,20.0,0,0
1968,6,Ferrari,32.0,1,0
